"#symbol","logFC","logCPM","LR","PValue","adj.p"
"MLXIPL",1.20823413918919,2.82856049331544,6.19981068588342,0.0127763977785575,0.137187928948513
"BAZ1B",-0.431370606009131,6.7975387101105,2.69027859918009,0.100962159936843,0.501803416196734
"RANBP9",0.274000372661064,6.28583544451642,0.749748240326101,0.386555951077194,1
"ETV7",-0.480308563824179,1.40663710146457,0.24408600161061,0.6212704400494,1
"SPRTN",0.118788418818347,4.35797973884789,0.101969262767602,0.74947911872936,1
"EEF1AKNMT",-2.10502461827653,4.36048397239757,23.7455121007013,1.09951459394412e-06,0.000211606581398154
"DYRK4",-0.927082988072248,3.55718890961039,4.57483395775819,0.0324448900944255,0.246461833881673
"ZNF207",-0.124995158198403,8.70859638900988,0.171179788784247,0.67906541357699,1
"UQCRC1",-0.530638194906081,6.31277855036682,2.79723419455951,0.0944270669765592,0.482709570273168
"STARD3NL",-0.779379492768228,5.62827966449211,6.50317969121806,0.0107681747602424,0.122436930338681
"CD9",-0.136791269347817,4.81586975739222,0.0536280962247737,0.816866255799365,1
"HHATL",-0.103257707099418,1.10860811571651,0.0259099272085823,0.87212048759825,1
"NCAPD2",-1.07271606899859,5.85512312776018,9.66629915614123,0.00187678995658172,0.0389764741933391
"IFFO1",-1.23696473113876,4.96937435555615,16.794283412223,4.16586101859613e-05,0.00299324112994864
"GIPR",0.131115400644331,2.99448490445842,0.0581106199268326,0.80950749466974,1
"PHF7",-0.0963892494310191,3.95612324147507,0.0794649017939917,0.77802387289831,1
"SEMA3G",-0.650790200189795,1.42387351481,0.456409282091792,0.499306898650146,1
"NISCH",0.0521812761821314,6.69450603665584,0.0264927576060252,0.87070271109645,1
"STAB1",-3.7098473080711,7.62247979869556,23.8355826940276,1.04924803869324e-06,0.000205434274951546
"FUZ",-0.188602782376304,3.92727857258402,0.262187496767212,0.608621282606378,1
"SLC6A13",-0.0426414349967429,1.17442574530376,0.00116449334882285,0.972777733246692,1
"IDS",0.928717122341989,7.08880347675171,6.8101737758633,0.00906399435736829,0.10940464876621
"PRSS3",0.34412856111199,1.15593832929994,0.0914989096422762,0.762280181310128,1
"ZNF200",-0.611616828174174,3.66669094792291,2.48023296682653,0.115285175581059,0.544930253491478
"CD4",-0.526354886673949,5.05228601092818,0.998393661888919,0.317699507091652,0.991182183901861
"LRRC23",0.115055170458699,3.41024913081423,0.0833475989306329,0.772811083407979,1
"BTK",-1.25456341145884,6.98831519078789,13.6600401690354,0.000219066813714539,0.00927019716587537
"HFE",0.897471970746014,3.40452607747842,4.77860567818083,0.0288154433734622,0.229049148837208
"SCMH1",-0.501447166910085,5.53651175094444,2.33261941601972,0.12668853484837,0.576457735136522
"FYN",1.08970444504246,6.43226976950536,4.30817340349046,0.0379296672012928,0.272193577847922
"HIVEP2",-0.446673112052411,5.80965060146702,0.805161231112937,0.369554712387493,1
"FMO1",0.895129008520179,1.30586654405716,0.707152644534943,0.40039068853414,1
"ELOA",-0.334999517933508,5.82890225134816,1.27700495639395,0.258456656549774,0.881151123599061
"LYPLA2",-0.692432961372475,4.8062545138829,5.27510756423591,0.0216324513149832,0.191765085302568
"CLCN6",0.565795937507419,4.89933905317087,4.10060634233646,0.0428678372765234,0.29357448124351
"MRC2",-0.813967841946026,4.26986011260973,1.82745404573494,0.17642855711895,0.702644101908652
"NME1-NME2",-1.14863823850404,3.37829409182807,4.67002315490935,0.030693513668002,0.237894306803514
"SLC6A7",0.258948696828579,1.1211091468449,0.0805553777347456,0.776546186352041,1
"TSPAN9",1.46988920668545,2.82028657910881,3.09237885575299,0.0786597354801395,0.43145927891664
"APBA3",-0.0072592601400051,4.41846503840845,0.00039240414823194,0.984195583948504,1
"MKS1",-1.14989319790814,3.89512979059242,7.33857996032551,0.00674901331782553,0.0898241961105643
"ABHD5",-0.544222408789311,3.83106246256745,2.01905634622761,0.155335649426498,0.651501871888849
"ANOS1",-0.153408353230981,1.87859881021925,0.0400059772447836,0.841468894786303,1
"AKAP8L",-0.434353161020013,6.70870024985571,2.32610734249274,0.127219659392337,0.577871034321742
"MBTD1",0.0998232109280967,6.2875620937372,0.105249545522401,0.74561866940665,1
"UTP18",-0.399345928103694,5.54617515369317,1.90347448857415,0.167689928301677,0.6828181292852
"RNF216",0.28318894277287,6.76327631959619,0.841584614439231,0.358943963262865,1
"TTC19",0.270005900333176,6.02070286256433,1.04070911018014,0.307656608987479,0.973647076485462
"PTBP1",-0.88405731065469,7.57728429055734,7.28767716595389,0.006942918752129,0.0913993563824771
"DPF1",2.05598412102392,2.21530841503981,13.1350795168379,0.000289817974828047,0.0110923327043792
"SYT7",-0.168793358671527,1.11154711183224,0.056970836967163,0.811349348971771,1
"LARS2",-0.347631889487473,4.96043739014663,1.42081505597356,0.2332692954548,0.829968232735818
"PIK3C2A",0.722623809092735,6.24119170583599,5.95476479561619,0.0146775609564801,0.149927124462574
"PLAUR",0.922933056683442,4.91095892286704,5.50820295662555,0.0189274844810095,0.176461460263484
"ANLN",-1.30060145650383,3.40686365376466,6.73205669156942,0.00946953516644751,0.112433776004767
"WIZ",-0.337780415445479,4.65429117152474,1.03232438901536,0.309613360128295,0.977044104361105
"RABGAP1",0.401583809411024,6.02439210723892,1.98274581589143,0.159101439404804,0.661841522070291
"DCN",0.372470226170113,1.93873069140367,0.386716673977266,0.53403032609094,1
"QPCTL",0.22113961498742,4.15826738403394,0.489934067630938,0.483956716836912,1
"PPP5C",-1.48584176350938,4.77426911765018,15.2259356262873,9.53844068627308e-05,0.00527618179559418
"CEP68",0.347356152259075,6.02776541014416,1.5253987726388,0.216804322618948,0.796420057014385
"MAP4K3",0.169982906341702,5.62900949703625,0.133991995772377,0.714328384599333,1
"ZBTB32",2.7422667094046,1.66516860421339,10.3085224620658,0.00132417258827004,0.0308946064448355
"TYROBP",-1.13277678408692,5.6174013360883,4.84717964258765,0.0276913749671524,0.224073036082144
"TMEM159",0.457661283481901,4.86364693743439,1.7393171444966,0.187225372306141,0.728093893312697
"GABRA3",0,1.09982271930342,0,1,1
"BRCA1",0.0769651112880479,4.78898081609828,0.0684806475169872,0.793561936608341,1
